cv_rank_f1_weighted,cv_f1_weighted,is_overfit,train_f1_weighted,test_f1_weighted,mean_fit_time,mean_test_precision_weighted,param_krs__activation,param_krs__batch_size,param_krs__callbacks,param_krs__dropout_rate,param_krs__epochs,param_krs__hidden_layer_sizes,param_krs__l2_reg,param_krs__optimizer__learning_rate,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,rank_test_precision_weighted,holdout_rank_f1_weighted
15,0.8490746722258233,No,0.8419800493542415,0.859620840491744,6.729703585306804,0.8265948291178087,swish,512,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.5,32,"(20, 15, 5)",0.05167075260023277,1e-05,144,0.42500000000000004,2.6279486817532733e-06,0.0075,15,1
7,0.9231349778747658,Yes,0.9358650336636027,0.9203084289537219,11.555134534835815,0.9420314918167915,swish,256,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.5,50,"(20, 15, 5)",0.02412470387944659,1e-05,270,0.5,1.2031136054984633e-05,0.0065,8,2
4,0.9251047050529961,Yes,0.9318761478725253,0.9187426537849821,12.303980191548666,0.9425652218830015,relu,512,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.3,100,"(20, 10)",0.06432759992849894,1e-05,229,0.5,2.573736873977558e-06,0.005,6,3
1,0.9277781646574477,Yes,0.9318560415169408,0.9181853165616798,12.105750799179077,0.94429776622713,relu,256,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.3,100,"(20, 10)",0.09231139356213623,1e-05,180,0.5,2.6694854887152312e-05,0,2,4
3,0.9263001380938412,Yes,0.9290263020903049,0.9179917972369483,8.971360683441162,0.9426957454236814,tanh,256,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.4,32,"(20, 15, 5)",0.07438075634395301,0.0001,214,0.42500000000000004,1.6485072038154612e-06,0,5,5
2,0.9266841640949085,Yes,0.9321680949799295,0.9175529209616435,9.342963695526123,0.9446927026237034,relu,512,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.3,100,"(20, 10)",0.010127963257331486,0.001,220,0.45,2.5412747738023127e-05,0.0035,1,6
5,0.9250221973602919,Yes,0.9288706084106602,0.9170017271564218,6.478261470794678,0.9423145000319634,relu,256,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.4,32,"(20, 10)",0.07296312489711157,0.0001,172,0.5,1.9831252230871643e-05,0.0075,7,7
8,0.9222936077065444,Yes,0.9328556063258857,0.9166355692365443,10.488317012786865,0.9407900879624855,swish,1024,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.3,100,"(20, 15, 5)",0.014906121385323268,1e-05,189,0.475,3.5831867187509406e-06,0.0075,9,8
12,0.9176441941581044,Yes,0.933735364132319,0.9165241047152164,8.173357645670572,0.9394426255564247,swish,256,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.3,32,"(20, 15, 5)",0.02673669911098411,1e-05,142,0.45,5.523570445089633e-06,0.0065,11,9
9,0.9219963756445133,Yes,0.9319637399953588,0.9156199113602872,9.917789141337076,0.9427532150660453,swish,512,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.5,64,"(20, 10)",0.010602764778958863,1e-05,202,0.4,3.622200455214779e-06,0.005,4,10
6,0.9245557926923076,Yes,0.9296586743892048,0.915426027408859,11.502094189325968,0.9428113532734043,tanh,128,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.5,32,"(20, 15, 5)",0.05695752881519842,1e-05,299,0.45,1.7196208311386162e-05,0.005,3,11
10,0.9200176509145153,Yes,0.9288430543051226,0.9151733433656597,7.213995536168416,0.9403098485364817,tanh,256,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.4,32,"(20, 15, 5)",0.069548020681269,0.0001,153,0.475,1.203430350865763e-06,0.0065,10,12
11,0.9184132280580233,Yes,0.9279629079588452,0.9131381440473545,9.170466899871826,0.9391093706174775,swish,1024,<keras.src.callbacks.EarlyStopping object at 0x7df873ef2c50>,0.5,64,"(20, 10)",0.03968793330444373,0.001,261,0.45,1.5058111949179914e-06,0.0035,12,13
13,0.9028558159595853,Yes,0.9211618325305428,0.908278624218851,5.446254253387451,0.9232833070842826,relu,1024,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.4,32,"(20, 10)",0.010545384637703189,0.001,198,0.42500000000000004,1.2105385030163095e-06,0.005,13,14
14,0.860862421880384,Yes,0.9062958186514972,0.8995454847687557,8.397636572519938,0.8639813820260235,relu,1024,<keras.src.callbacks.ReduceLROnPlateau object at 0x7df90422b580>,0.5,50,"(20, 15, 5)",0.09330606024425668,0.0001,177,0.42500000000000004,2.1052917703272952e-06,0.0065,14,15
